Books,Start,End,Pages,Words,Author - First Name,Author - Last Name,Author - Gender,Author - Race,Author - Ethnicity,Author - Nationality,Series,Place in Series,Genre,Publisher ,Year Written,Color,Rating,Source,Format
The Poppy War,06/17/2022,06/19/2022,527,"162,955",R.F.,Kuang,Female,Asian,NHO,Chinese-American,The Poppy War,1,Fantasy-Fiction,Harper Voyager,2018,Orange,5,SLCL,Hardcover
Electric Idol,06/20/2022,06/22/2022,372,"112,125",Katee,Robert,Female,White,NHO,American,Dark Olympus,2,Romance-Fiction,Sourcebooks Casablanca,2022,Pink,4,SLCL,Paperback
The Love Hypothesis,06/23/2022,06/23/2022,352,"106,444",Ali,Hazelwood,Female,White,NHO,American,NONE,NONE,Romance-Fiction,Berkley Books,2021,Teal,5,SLCL,Paperback
The Bees,06/24/2022,06/26/2022,338,"101,660",Laline,Paull,Female,White,NHO,Indian-British,NONE,NONE,Science-Fiction,Ecco,2014,Mint Green,4,SLCL,Hardcover
The Wolf Den,06/27/2022,06/29/2022,457,"138,736",Elodie,Harper,Female,White,NHO,British,The Wolf Den,1,Historical-Fiction,Head of Zeus,2021,Red,5,SLCL ,Paperback
The Familiars,06/29/2022,06/30/2022,344,"102,856",Stacey,Halls,Female,White,NHO,English,NONE,NONE,Historical-Fiction,Mira Books,2019,Magenta,4,SLCL,Hardcover
Elektra,07/02/2022,07/03/2022,287,"90,896",Jennifer,Saint,Female,White,NHO,English,NONE,NONE,Mythology-Fiction,Flatiron Books,2022,Red,4,SLCL,Hardcover
Crown of Midnight,07/04/2022,07/05/2022,418,"125,580",Sarah J.,Maas,Female,White,NHO,American,Throne of Glass,2,Fantasy-Fiction,Bloomsbury Publishing,2013,Orange,4,SLCL,Hardcover
The Dragon Republic,07/06/2022,07/08/2022,656,"196,742",R.F.,Kuang,Female,Asian,NHO,Chinese-American,The Poppy War,2,Fantasy-Fiction,Harper Voyager,2019,Blue,5,SLCL,Hardcover
Queenie,07/09/2022,07/10/2022,328,"98,670",Candice,Carty-Williams,Female,Black,NHO,Jamaican-British,NONE,NONE,Contemporary-Fiction,Orion Publishing,2019,Yellow,4,SLCL,Hardcover
The Burning God,07/11/2022,07/15/2022,617,"185,978",R.F.,Kuang,Female,Asian,NHO,Chinese-American,The Poppy War,3,Fantasy-Fiction,Harper Voyager,2020,Purple,5,SLCL,Hardcover
Wicked Beauty,07/15/2022,07/17/2022,377,"95,200",Katee,Robert,Female,White,NHO,American,Dark Olympus,3,Romance-Fiction,Sourcebooks Casablanca,2022,Green,4,SLCL,Paperback
