,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
409,Dress,reputation,2017-11-10,12,6oVxXO5oQ4pTpO8RSnkzvv,spotify:track:6oVxXO5oQ4pTpO8RSnkzvv,0.0329,0.719,0.469,0.0,0.169,-8.792,0.0533,120.085,0.0851,74,230373
410,This Is Why We Can't Have Nice Things,reputation,2017-11-10,13,07NxDD1iKCHbAldceD7QLP,spotify:track:07NxDD1iKCHbAldceD7QLP,0.0156,0.567,0.789,0.0,0.382,-5.986,0.115,163.96,0.438,72,207133
411,Call It What You Want,reputation,2017-11-10,14,1GwMQaZz6Au3QLDbjbMdme,spotify:track:1GwMQaZz6Au3QLDbjbMdme,0.186,0.598,0.504,0.000221,0.34,-9.874,0.0731,163.954,0.252,74,203506
412,New Year’s Day,reputation,2017-11-10,15,7F5oktn5YOsR9eR5YsFtqb,spotify:track:7F5oktn5YOsR9eR5YsFtqb,0.921,0.661,0.151,0.0,0.13,-12.864,0.0354,94.922,0.23,72,235466
603,Welcome To New York,1989 (Deluxe Edition),2014-10-27,1,33Kq0AT5rvwyE4azisG08x,spotify:track:33Kq0AT5rvwyE4azisG08x,0.0348,0.789,0.634,1.64e-06,0.302,-4.762,0.0323,116.992,0.658,58,212600
604,Blank Space,1989 (Deluxe Edition),2014-10-27,2,2sC2P3BN0IXujNaaSyDmtP,spotify:track:2sC2P3BN0IXujNaaSyDmtP,0.103,0.76,0.703,0.0,0.0913,-5.412,0.054,95.997,0.57,62,231826
605,Style,1989 (Deluxe Edition),2014-10-27,3,1fo2ctLqj3zBhRQKOXprol,spotify:track:1fo2ctLqj3zBhRQKOXprol,0.00245,0.588,0.791,0.00258,0.118,-5.595,0.0402,94.933,0.487,65,231000
606,Out Of The Woods,1989 (Deluxe Edition),2014-10-27,4,6Nde5KuTXyB7jlPO4upaBo,spotify:track:6Nde5KuTXyB7jlPO4upaBo,0.000743,0.553,0.841,1.19e-05,0.341,-6.937,0.0396,92.008,0.338,62,235800
607,All You Had To Do Was Stay,1989 (Deluxe Edition),2014-10-27,5,0lmMtDQ2ElasKU2qDAE6NN,spotify:track:0lmMtDQ2ElasKU2qDAE6NN,0.00201,0.605,0.725,2.02e-05,0.101,-5.729,0.0323,96.97,0.539,60,193293
608,Shake It Off,1989 (Deluxe Edition),2014-10-27,6,3fthfkkvy9av3q3uAGVf7U,spotify:track:3fthfkkvy9av3q3uAGVf7U,0.0647,0.647,0.8,0.0,0.334,-5.384,0.165,160.078,0.942,59,219200
609,I Wish You Would,1989 (Deluxe Edition),2014-10-27,7,1B5VzXPqMlvRw0U4HJY3dJ,spotify:track:1B5VzXPqMlvRw0U4HJY3dJ,0.0158,0.653,0.893,4.95e-05,0.102,-5.966,0.0538,118.035,0.513,64,207440
610,Bad Blood,1989 (Deluxe Edition),2014-10-27,8,0yN4fNzmVnmgC0dsOoi9Wh,spotify:track:0yN4fNzmVnmgC0dsOoi9Wh,0.0885,0.646,0.794,6.16e-06,0.201,-6.104,0.19,170.216,0.287,59,211933
611,Wildest Dreams,1989 (Deluxe Edition),2014-10-27,9,106R7Z57WYzBAfrXImV30y,spotify:track:106R7Z57WYzBAfrXImV30y,0.0692,0.55,0.688,0.00144,0.106,-7.416,0.0897,139.997,0.465,58,220440
612,How You Get The Girl,1989 (Deluxe Edition),2014-10-27,10,6wfugRLamFsTRbPcCpNnP7,spotify:track:6wfugRLamFsTRbPcCpNnP7,0.00364,0.765,0.656,0.00868,0.0918,-6.112,0.0504,119.997,0.545,64,247533
613,This Love,1989 (Deluxe Edition),2014-10-27,11,1kTPQnabROVkW9bUXdCGrB,spotify:track:1kTPQnabROVkW9bUXdCGrB,0.678,0.481,0.435,0.0,0.0928,-8.795,0.0321,143.95,0.107,57,250093
614,I Know Places,1989 (Deluxe Edition),2014-10-27,12,2zfgVd034GlUvk7LqBHl6u,spotify:track:2zfgVd034GlUvk7LqBHl6u,0.245,0.602,0.755,0.0,0.178,-4.991,0.071,159.965,0.495,61,195706
615,Clean,1989 (Deluxe Edition),2014-10-27,13,4bXCcoesMt8u99xMsbLr9U,spotify:track:4bXCcoesMt8u99xMsbLr9U,0.232,0.815,0.377,0.0,0.1,-7.754,0.0346,103.97,0.211,66,271000
616,Wonderland,1989 (Deluxe Edition),2014-10-27,14,6iWMI5oOhWrDbLbjmwTWFq,spotify:track:6iWMI5oOhWrDbLbjmwTWFq,0.0493,0.422,0.692,2.57e-05,0.177,-5.447,0.0549,184.014,0.197,65,245560
617,You Are In Love,1989 (Deluxe Edition),2014-10-27,15,4A2LfnduSTsE8u0ecYROxE,spotify:track:4A2LfnduSTsE8u0ecYROxE,0.707,0.474,0.48,0.000108,0.0903,-8.894,0.0622,170.109,0.319,65,267106
618,New Romantics,1989 (Deluxe Edition),2014-10-27,16,6rZVy6FIG7lSJQMFXHo12z,spotify:track:6rZVy6FIG7lSJQMFXHo12z,0.00463,0.633,0.889,0.000458,0.0658,-5.87,0.0715,121.956,0.584,69,230466
619,I Know Places - Voice Memo,1989 (Deluxe Edition),2014-10-27,17,4JQm7ebhsrt10wmrP6AfXL,spotify:track:4JQm7ebhsrt10wmrP6AfXL,0.829,0.592,0.128,0.0,0.527,-17.932,0.589,78.828,0.15,45,216333
620,I Wish You Would - Voice Memo,1989 (Deluxe Edition),2014-10-27,18,4TtyvyI42C0KFnbDZvNC8Y,spotify:track:4TtyvyI42C0KFnbDZvNC8Y,0.717,0.781,0.357,0.0,0.185,-16.394,0.912,118.317,0.645,42,107133
621,Blank Space - Voice Memo,1989 (Deluxe Edition),2014-10-27,19,0yisH8r0f3Mkq34kjzUlCV,spotify:track:0yisH8r0f3Mkq34kjzUlCV,0.801,0.675,0.234,0.0,0.657,-15.064,0.721,127.296,0.578,43,131186
944,Mine,Speak Now (Deluxe Edition),2010-10-25,1,6LZaxlycSWrJZ4Volb25qx,spotify:track:6LZaxlycSWrJZ4Volb25qx,0.00265,0.624,0.757,1.87e-06,0.189,-2.94,0.0296,121.07,0.658,58,230706
945,Sparks Fly,Speak Now (Deluxe Edition),2010-10-25,2,1q8E1FfFuhd12c5JcJwPxQ,spotify:track:1q8E1FfFuhd12c5JcJwPxQ,0.0396,0.605,0.787,1.42e-06,0.163,-3.002,0.0308,114.987,0.374,59,260933
946,Back To December,Speak Now (Deluxe Edition),2010-10-25,3,7lxADouiWFkwR7ZV2GKUcH,spotify:track:7lxADouiWFkwR7ZV2GKUcH,0.117,0.529,0.67,0.0,0.334,-4.663,0.0303,141.893,0.286,60,293026
947,Speak Now,Speak Now (Deluxe Edition),2010-10-25,4,1nYWTzy5zu3zEPNgB1sItW,spotify:track:1nYWTzy5zu3zEPNgB1sItW,0.095,0.709,0.599,0.0,0.0973,-3.734,0.0304,118.975,0.735,57,240760
948,Dear John,Speak Now (Deluxe Edition),2010-10-25,5,1ubvV5ECkm6nSI6g1HmbBK,spotify:track:1ubvV5ECkm6nSI6g1HmbBK,0.166,0.589,0.47,1.45e-06,0.112,-5.32,0.028,119.386,0.102,62,403920
949,Mean,Speak Now (Deluxe Edition),2010-10-25,6,4N60XfcTE1ysLZGbYgnYXq,spotify:track:4N60XfcTE1ysLZGbYgnYXq,0.452,0.568,0.761,0.0,0.217,-3.987,0.0459,163.974,0.789,57,237733
950,The Story Of Us,Speak Now (Deluxe Edition),2010-10-25,7,19tHCfzUSoy5HkpxcmbA0A,spotify:track:19tHCfzUSoy5HkpxcmbA0A,0.00478,0.543,0.818,0.000368,0.0357,-3.611,0.0398,139.898,0.683,57,265666
951,Never Grow Up,Speak Now (Deluxe Edition),2010-10-25,8,74WBGgUnpKrJXt6TETfR6Z,spotify:track:74WBGgUnpKrJXt6TETfR6Z,0.819,0.714,0.305,0.0,0.174,-8.837,0.0305,124.91,0.554,58,290466
952,Enchanted,Speak Now (Deluxe Edition),2010-10-25,9,14LtANuaslKWyYbktUrHBU,spotify:track:14LtANuaslKWyYbktUrHBU,0.0739,0.455,0.623,0.000424,0.146,-3.878,0.0288,163.893,0.208,61,352186
953,Better Than Revenge,Speak Now (Deluxe Edition),2010-10-25,10,1By2VQkUN0Frd8mKNV5NYC,spotify:track:1By2VQkUN0Frd8mKNV5NYC,0.0139,0.516,0.917,6.37e-06,0.36,-3.186,0.0827,145.821,0.635,65,217160
954,Innocent,Speak Now (Deluxe Edition),2010-10-25,11,3kfgJql90tzgoxByioAMXR,spotify:track:3kfgJql90tzgoxByioAMXR,0.186,0.552,0.608,0.0,0.125,-5.29,0.0259,134.05,0.17,54,302253
955,Haunted,Speak Now (Deluxe Edition),2010-10-25,12,11UaQaEp2LvdspTyyuE3ur,spotify:track:11UaQaEp2LvdspTyyuE3ur,0.0826,0.436,0.95,1.08e-06,0.149,-2.627,0.057,162.088,0.352,61,242080
956,Last Kiss,Speak Now (Deluxe Edition),2010-10-25,13,1D27z8xNzjW0Mwwt1NCWhJ,spotify:track:1D27z8xNzjW0Mwwt1NCWhJ,0.57,0.371,0.341,3.09e-05,0.101,-9.475,0.0319,89.038,0.196,60,367133
957,Long Live,Speak Now (Deluxe Edition),2010-10-25,14,7DjCRhhFo9PPzca1BjMLcf,spotify:track:7DjCRhhFo9PPzca1BjMLcf,0.036,0.418,0.68,7.59e-05,0.114,-4.3,0.0347,204.12,0.142,58,317453
958,Ours,Speak Now (Deluxe Edition),2010-10-25,15,1EQn3Uc5AyUXoiPLeyCrrg,spotify:track:1EQn3Uc5AyUXoiPLeyCrrg,0.537,0.608,0.569,0.0,0.097,-7.227,0.0284,159.845,0.238,59,237920
959,If This Was A Movie,Speak Now (Deluxe Edition),2010-10-25,16,0vvt4IZOMkRug195S4MUq0,spotify:track:0vvt4IZOMkRug195S4MUq0,0.166,0.511,0.719,4.54e-06,0.34,-3.457,0.0265,147.852,0.289,57,234546
960,Superman,Speak Now (Deluxe Edition),2010-10-25,17,2R7C9dDqv1UPycvepBFziA,spotify:track:2R7C9dDqv1UPycvepBFziA,0.0268,0.582,0.765,1.95e-06,0.103,-3.648,0.0324,131.982,0.559,54,275960
961,Back To December - Acoustic,Speak Now (Deluxe Edition),2010-10-25,18,6IH2Z54gYPLqgJtxZjX80i,spotify:track:6IH2Z54gYPLqgJtxZjX80i,0.748,0.541,0.453,0.0,0.2,-6.459,0.0266,141.757,0.377,55,292560
962,Haunted - Acoustic Version,Speak Now (Deluxe Edition),2010-10-25,19,62rlxI6g2PNaWsHoiRryto,spotify:track:62rlxI6g2PNaWsHoiRryto,0.842,0.563,0.443,0.0,0.293,-5.078,0.0247,80.962,0.313,54,217613
963,Mine - POP Mix,Speak Now (Deluxe Edition),2010-10-25,20,0fAbfDiuQiUwV7FUcFfRGY,spotify:track:0fAbfDiuQiUwV7FUcFfRGY,0.00727,0.695,0.723,1.2e-06,0.1,-3.806,0.0285,121.011,0.679,49,230333
1177,Tim McGraw,Taylor Swift,2006-10-24,1,0Om9WAB5RS09L80DyOfTNa,spotify:track:0Om9WAB5RS09L80DyOfTNa,0.575,0.58,0.491,0.0,0.121,-6.462,0.0251,76.009,0.425,63,232106
1178,Picture To Burn,Taylor Swift,2006-10-24,2,32mVHdy0bi1XKgr0ajsBlG,spotify:track:32mVHdy0bi1XKgr0ajsBlG,0.173,0.658,0.877,0.0,0.0962,-2.098,0.0323,105.586,0.821,67,173066
1179,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,3,7zMcNqs55Mxer82bvZFkpg,spotify:track:7zMcNqs55Mxer82bvZFkpg,0.288,0.621,0.417,0.0,0.119,-6.941,0.0231,99.953,0.289,66,203040
1180,A Place in this World,Taylor Swift,2006-10-24,4,73OX8GdpOeGzKC6OvGSbsv,spotify:track:73OX8GdpOeGzKC6OvGSbsv,0.051,0.576,0.777,0.0,0.32,-2.881,0.0324,115.028,0.428,55,199200
1181,Cold As You,Taylor Swift,2006-10-24,5,7an1exwMnfYRcdVQm0yDev,spotify:track:7an1exwMnfYRcdVQm0yDev,0.217,0.418,0.482,0.0,0.123,-5.769,0.0266,175.558,0.261,55,239013
1182,The Outside,Taylor Swift,2006-10-24,6,2QA3IixpRcKyOdG7XDzRgv,spotify:track:2QA3IixpRcKyOdG7XDzRgv,0.00491,0.589,0.805,0.0,0.24,-4.055,0.0293,112.982,0.591,53,207106
1183,Tied Together with a Smile,Taylor Swift,2006-10-24,7,6K0CJLVXqbGMeJSmJ4ENKK,spotify:track:6K0CJLVXqbGMeJSmJ4ENKK,0.525,0.479,0.578,0.0,0.0841,-4.963,0.0294,146.165,0.192,54,248106
1184,Stay Beautiful,Taylor Swift,2006-10-24,8,2ZoOmCSgj0ypVAmGd1ve4y,spotify:track:2ZoOmCSgj0ypVAmGd1ve4y,0.0868,0.594,0.629,0.0,0.137,-4.919,0.0246,131.597,0.504,54,236053
1185,Should've Said No,Taylor Swift,2006-10-24,9,16MVSD0mGI4RMQT83Qzm69,spotify:track:16MVSD0mGI4RMQT83Qzm69,0.0103,0.476,0.777,0.0,0.196,-3.771,0.0289,167.964,0.472,64,242200
1186,Mary's Song (Oh My My My),Taylor Swift,2006-10-24,10,2QrQCMel6v2JiLxqrg4p2O,spotify:track:2QrQCMel6v2JiLxqrg4p2O,0.0177,0.403,0.627,0.0,0.182,-5.28,0.0292,74.9,0.374,56,213080
1187,Our Song,Taylor Swift,2006-10-24,11,15DeqWWQB4dcEWzJg15VrN,spotify:track:15DeqWWQB4dcEWzJg15VrN,0.111,0.668,0.672,0.0,0.329,-4.931,0.0303,89.011,0.539,71,201106
1188,I'm Only Me When I'm With You,Taylor Swift,2006-10-24,12,0JIdBrXGSJXS72zjF9ss9u,spotify:track:0JIdBrXGSJXS72zjF9ss9u,0.00452,0.563,0.934,0.000807,0.103,-3.629,0.0646,143.964,0.518,57,213053
1189,Invisible,Taylor Swift,2006-10-24,13,5OOd01o2YS1QFwdpVLds3r,spotify:track:5OOd01o2YS1QFwdpVLds3r,0.637,0.612,0.394,0.0,0.147,-5.723,0.0243,96.001,0.233,53,203226
1190,A Perfectly Good Heart,Taylor Swift,2006-10-24,14,1spLfUJxtyVyiKKTegQ2r4,spotify:track:1spLfUJxtyVyiKKTegQ2r4,0.00349,0.483,0.751,0.0,0.128,-5.726,0.0365,156.092,0.268,51,220146
1191,Teardrops on My Guitar - Pop Version,Taylor Swift,2006-10-24,15,4pJi1rVt9GNegU9kywjg4z,spotify:track:4pJi1rVt9GNegU9kywjg4z,0.0402,0.459,0.753,0.0,0.0863,-3.827,0.0537,199.997,0.483,53,179066
